ID,Class,Timestamp,Line Bound
7,car,00:00:01.399,Red Line Bound
3,car,00:00:01.799,Red Line Bound
5,car,00:00:02.266,Red Line Bound
6,car,00:00:02.466,Red Line Bound
10,car,00:00:03.066,Red Line Bound
14,car,00:00:04.799,Red Line Bound
9,truck,00:00:04.999,Red Line Bound
12,car,00:00:07.199,Red Line Bound
18,car,00:00:07.333,Red Line Bound
16,car,00:00:09.199,Red Line Bound
25,car,00:00:09.333,Red Line Bound
23,car,00:00:11.333,Red Line Bound
30,car,00:00:12.199,Red Line Bound
29,car,00:00:12.533,Red Line Bound
33,car,00:00:14.333,Red Line Bound
32,truck,00:00:14.733,Red Line Bound
31,car,00:00:14.999,Red Line Bound
38,car,00:00:16.799,Red Line Bound
37,car,00:00:17.266,Red Line Bound
39,car,00:00:18.999,Red Line Bound
41,car,00:00:19.666,Red Line Bound
45,car,00:00:20.066,Red Line Bound
46,car,00:00:22.733,Red Line Bound
53,car,00:00:24.599,Red Line Bound
49,car,00:00:24.666,Red Line Bound
48,car,00:00:24.733,Red Line Bound
54,car,00:00:27.333,Red Line Bound
55,car,00:00:27.733,Red Line Bound
58,truck,00:00:31.999,Red Line Bound
59,car,00:00:33.999,Red Line Bound
60,car,00:00:35.999,Red Line Bound
63,car,00:00:38.399,Red Line Bound
68,car,00:00:40.599,Red Line Bound
65,car,00:00:40.599,Red Line Bound
69,car,00:00:42.799,Red Line Bound
71,car,00:00:45.199,Red Line Bound
73,car,00:00:45.266,Red Line Bound
76,car,00:00:49.599,Red Line Bound
27,car,00:00:51.999,Red Line Bound
75,bus,00:00:53.399,Red Line Bound
97,car,00:00:56.933,Red Line Bound
87,car,00:01:00.666,Red Line Bound
94,car,00:01:02.999,Red Line Bound
100,truck,00:01:03.133,Red Line Bound
105,car,00:01:06.066,Red Line Bound
108,car,00:01:07.266,Red Line Bound
99,car,00:01:07.466,Red Line Bound
110,car,00:01:10.066,Red Line Bound
117,car,00:01:14.866,Red Line Bound
121,car,00:01:17.799,Red Line Bound
113,car,00:01:20.266,Red Line Bound
92,car,00:01:22.999,Red Line Bound
126,car,00:01:38.333,Red Line Bound
136,person,00:01:45.599,Blue Line Bound
139,car,00:01:46.466,Red Line Bound
140,car,00:01:48.733,Red Line Bound
138,person,00:01:49.533,Blue Line Bound
141,car,00:01:51.399,Red Line Bound
112,car,00:01:52.199,Red Line Bound
142,car,00:01:53.399,Red Line Bound
130,bus,00:01:55.466,Red Line Bound
144,car,00:01:57.333,Red Line Bound
