ID,Class,Timestamp,Line Bound
1,person,00:00:00.066,Blue Line Bound
7,car,00:00:08.599,Red Line Bound
8,car,00:00:12.799,Red Line Bound
9,car,00:00:15.666,Red Line Bound
10,car,00:00:16.199,Red Line Bound
11,car,00:00:19.599,Red Line Bound
20,car,00:00:27.999,Red Line Bound
22,car,00:00:31.266,Red Line Bound
23,car,00:00:31.666,Red Line Bound
24,car,00:00:34.599,Red Line Bound
26,car,00:00:39.199,Red Line Bound
29,car,00:00:40.599,Red Line Bound
34,car,00:00:42.599,Red Line Bound
35,car,00:00:42.799,Red Line Bound
37,car,00:00:42.933,Red Line Bound
38,car,00:00:44.199,Red Line Bound
44,car,00:00:50.466,Red Line Bound
30,car,00:00:52.333,Red Line Bound
49,car,00:00:53.066,Red Line Bound
48,car,00:00:54.866,Red Line Bound
53,car,00:00:56.933,Red Line Bound
57,car,00:01:00.466,Red Line Bound
61,car,00:01:06.399,Red Line Bound
63,truck,00:01:09.133,Red Line Bound
64,car,00:01:12.866,Red Line Bound
65,car,00:01:15.199,Red Line Bound
66,bus,00:01:17.466,Red Line Bound
70,car,00:01:20.999,Red Line Bound
71,car,00:01:21.066,Red Line Bound
73,car,00:01:24.066,Red Line Bound
72,car,00:01:24.199,Red Line Bound
76,car,00:01:25.066,Red Line Bound
75,car,00:01:25.533,Red Line Bound
77,car,00:01:27.199,Red Line Bound
78,car,00:01:27.399,Red Line Bound
79,car,00:01:28.399,Red Line Bound
81,car,00:01:30.199,Red Line Bound
82,car,00:01:31.999,Red Line Bound
85,car,00:01:33.733,Red Line Bound
88,car,00:01:34.599,Red Line Bound
91,car,00:01:35.933,Red Line Bound
86,car,00:01:35.999,Red Line Bound
94,car,00:01:38.133,Red Line Bound
95,car,00:01:38.933,Red Line Bound
98,car,00:01:41.799,Red Line Bound
99,car,00:01:43.666,Red Line Bound
100,car,00:01:44.999,Red Line Bound
101,car,00:01:46.066,Red Line Bound
102,car,00:01:46.666,Red Line Bound
103,car,00:01:48.733,Red Line Bound
104,car,00:01:48.933,Red Line Bound
107,car,00:01:49.466,Red Line Bound
109,car,00:01:50.933,Red Line Bound
111,car,00:01:51.066,Red Line Bound
112,car,00:01:52.533,Red Line Bound
113,truck,00:01:52.799,Red Line Bound
118,car,00:01:54.799,Red Line Bound
123,car,00:01:56.399,Red Line Bound
127,car,00:01:58.999,Red Line Bound
131,car,00:02:00.533,Red Line Bound
136,car,00:02:00.733,Red Line Bound
133,car,00:02:02.399,Red Line Bound
50,car,00:02:03.599,Red Line Bound
137,car,00:02:04.199,Red Line Bound
139,car,00:02:05.666,Red Line Bound
145,car,00:02:10.733,Red Line Bound
148,car,00:02:16.933,Red Line Bound
150,car,00:02:17.933,Red Line Bound
143,car,00:02:20.133,Red Line Bound
154,car,00:02:26.266,Red Line Bound
162,car,00:02:26.933,Red Line Bound
158,car,00:02:28.933,Red Line Bound
165,car,00:02:29.466,Red Line Bound
166,car,00:02:31.266,Red Line Bound
169,car,00:02:33.333,Red Line Bound
167,car,00:02:33.533,Red Line Bound
171,car,00:02:34.933,Red Line Bound
172,car,00:02:35.133,Red Line Bound
174,car,00:02:36.599,Red Line Bound
175,car,00:02:37.399,Red Line Bound
178,car,00:02:39.933,Red Line Bound
153,car,00:02:42.599,Red Line Bound
181,car,00:02:50.066,Red Line Bound
186,car,00:02:55.799,Red Line Bound
188,truck,00:02:56.599,Red Line Bound
190,car,00:02:59.133,Red Line Bound
193,car,00:03:00.399,Red Line Bound
194,car,00:03:00.799,Red Line Bound
192,car,00:03:01.399,Red Line Bound
195,car,00:03:02.066,Red Line Bound
200,car,00:03:05.599,Red Line Bound
212,truck,00:03:05.933,Red Line Bound
203,car,00:03:05.999,Red Line Bound
206,car,00:03:07.666,Red Line Bound
208,car,00:03:08.733,Red Line Bound
215,truck,00:03:09.666,Red Line Bound
214,car,00:03:10.066,Red Line Bound
216,car,00:03:10.733,Red Line Bound
226,truck,00:03:12.133,Red Line Bound
225,car,00:03:13.266,Red Line Bound
232,car,00:03:14.733,Red Line Bound
230,car,00:03:15.733,Red Line Bound
234,car,00:03:15.799,Red Line Bound
237,truck,00:03:27.266,Red Line Bound
239,truck,00:03:32.199,Red Line Bound
240,car,00:03:37.133,Red Line Bound
241,car,00:03:38.466,Red Line Bound
245,car,00:03:44.599,Red Line Bound
247,truck,00:03:45.733,Red Line Bound
251,car,00:03:47.333,Red Line Bound
248,truck,00:03:47.999,Red Line Bound
254,car,00:03:48.799,Red Line Bound
255,car,00:03:49.733,Red Line Bound
260,car,00:03:52.199,Red Line Bound
262,truck,00:03:55.466,Red Line Bound
265,car,00:03:56.133,Red Line Bound
275,car,00:03:59.266,Red Line Bound
272,car,00:04:00.533,Red Line Bound
273,car,00:04:01.199,Red Line Bound
274,car,00:04:01.999,Red Line Bound
279,truck,00:04:05.733,Red Line Bound
284,car,00:04:07.266,Red Line Bound
287,car,00:04:07.866,Red Line Bound
282,person,00:04:08.666,Blue Line Bound
294,car,00:04:10.733,Red Line Bound
292,car,00:04:10.866,Red Line Bound
298,car,00:04:14.866,Red Line Bound
304,car,00:04:20.399,Red Line Bound
306,car,00:04:21.066,Red Line Bound
309,car,00:04:21.999,Red Line Bound
310,truck,00:04:22.599,Red Line Bound
311,truck,00:04:24.333,Red Line Bound
312,car,00:04:24.533,Red Line Bound
313,truck,00:04:25.999,Red Line Bound
316,car,00:04:26.266,Red Line Bound
328,car,00:04:29.066,Red Line Bound
