ID,Class,Timestamp,Line Bound
1,car,00:00:00.399,Red Line Bound
2,car,00:00:07.599,Red Line Bound
3,car,00:00:09.666,Red Line Bound
10,truck,00:00:11.999,Red Line Bound
9,car,00:00:16.933,Red Line Bound
20,person,00:00:24.733,Blue Line Bound
21,person,00:00:24.999,Blue Line Bound
25,car,00:00:25.799,Red Line Bound
24,car,00:00:25.999,Red Line Bound
28,car,00:00:31.266,Red Line Bound
29,car,00:00:36.666,Red Line Bound
32,car,00:00:39.066,Red Line Bound
34,car,00:00:42.599,Red Line Bound
35,car,00:00:44.666,Red Line Bound
36,truck,00:00:45.533,Red Line Bound
31,person,00:00:49.799,Blue Line Bound
39,car,00:00:52.533,Red Line Bound
42,truck,00:00:55.066,Red Line Bound
41,car,00:00:55.199,Red Line Bound
40,car,00:00:57.333,Red Line Bound
46,car,00:00:58.199,Red Line Bound
47,car,00:01:02.799,Red Line Bound
51,car,00:01:06.866,Red Line Bound
53,car,00:01:08.533,Red Line Bound
60,car,00:01:09.199,Red Line Bound
55,car,00:01:09.399,Red Line Bound
57,car,00:01:10.999,Red Line Bound
59,car,00:01:11.133,Red Line Bound
67,car,00:01:14.066,Red Line Bound
62,car,00:01:15.133,Red Line Bound
68,car,00:01:15.666,Red Line Bound
64,car,00:01:15.799,Red Line Bound
71,car,00:01:18.133,Red Line Bound
78,car,00:01:19.333,Red Line Bound
82,car,00:01:20.466,Red Line Bound
76,car,00:01:21.266,Red Line Bound
85,car,00:01:21.733,Red Line Bound
69,car,00:01:23.266,Red Line Bound
87,car,00:01:27.199,Red Line Bound
88,car,00:01:29.466,Red Line Bound
91,car,00:01:32.866,Red Line Bound
93,car,00:01:37.733,Red Line Bound
89,car,00:01:42.133,Red Line Bound
94,car,00:01:45.266,Red Line Bound
95,car,00:01:47.866,Red Line Bound
96,car,00:01:49.199,Red Line Bound
97,car,00:01:49.733,Red Line Bound
98,car,00:01:51.533,Red Line Bound
101,car,00:02:14.933,Red Line Bound
102,car,00:02:16.666,Red Line Bound
106,car,00:02:28.199,Red Line Bound
105,car,00:02:28.466,Red Line Bound
108,car,00:02:37.066,Red Line Bound
107,truck,00:02:37.133,Red Line Bound
109,car,00:02:38.399,Red Line Bound
110,car,00:02:40.466,Red Line Bound
112,car,00:02:41.866,Red Line Bound
115,car,00:02:44.399,Red Line Bound
116,car,00:02:46.333,Red Line Bound
118,car,00:02:50.399,Red Line Bound
119,car,00:02:51.933,Red Line Bound
124,car,00:02:54.933,Red Line Bound
123,car,00:02:55.666,Red Line Bound
127,car,00:02:56.399,Red Line Bound
125,truck,00:02:56.866,Red Line Bound
126,car,00:02:58.733,Red Line Bound
136,car,00:03:00.066,Red Line Bound
133,car,00:03:01.066,Red Line Bound
137,car,00:03:02.733,Red Line Bound
139,car,00:03:04.399,Red Line Bound
145,car,00:03:06.333,Red Line Bound
144,car,00:03:07.066,Red Line Bound
146,car,00:03:07.999,Red Line Bound
152,car,00:03:11.133,Red Line Bound
153,car,00:03:12.399,Red Line Bound
156,car,00:03:14.733,Red Line Bound
157,car,00:03:18.533,Red Line Bound
158,car,00:03:19.999,Red Line Bound
161,car,00:03:22.933,Red Line Bound
159,car,00:03:23.466,Red Line Bound
154,person,00:03:27.133,Blue Line Bound
164,car,00:03:27.399,Red Line Bound
162,car,00:03:31.533,Red Line Bound
165,car,00:03:33.733,Red Line Bound
168,car,00:03:34.466,Red Line Bound
169,car,00:03:35.599,Red Line Bound
171,car,00:03:37.866,Red Line Bound
173,car,00:03:38.799,Red Line Bound
177,car,00:03:40.133,Red Line Bound
178,car,00:03:41.933,Red Line Bound
181,car,00:03:43.599,Red Line Bound
179,bus,00:03:43.999,Red Line Bound
184,car,00:03:46.599,Red Line Bound
185,car,00:03:48.399,Red Line Bound
188,car,00:03:48.666,Red Line Bound
190,car,00:03:50.199,Red Line Bound
192,car,00:03:53.733,Red Line Bound
193,car,00:03:54.799,Red Line Bound
194,car,00:03:55.133,Red Line Bound
195,car,00:03:56.933,Red Line Bound
196,car,00:03:58.333,Red Line Bound
197,car,00:04:00.599,Red Line Bound
198,car,00:04:01.333,Red Line Bound
200,car,00:04:06.466,Red Line Bound
201,car,00:04:12.799,Red Line Bound
202,car,00:04:13.533,Red Line Bound
203,car,00:04:14.666,Red Line Bound
204,car,00:04:16.333,Red Line Bound
206,car,00:04:18.399,Red Line Bound
209,car,00:04:21.533,Red Line Bound
207,car,00:04:21.666,Red Line Bound
211,car,00:04:25.466,Red Line Bound
215,car,00:04:26.599,Red Line Bound
216,car,00:04:29.066,Red Line Bound
217,car,00:04:31.133,Red Line Bound
218,car,00:04:36.266,Red Line Bound
220,truck,00:04:38.999,Red Line Bound
221,truck,00:04:40.466,Red Line Bound
223,car,00:04:44.466,Red Line Bound
229,car,00:04:46.666,Red Line Bound
232,truck,00:04:49.399,Red Line Bound
233,car,00:04:51.933,Red Line Bound
240,truck,00:04:53.599,Red Line Bound
242,car,00:04:56.999,Red Line Bound
243,car,00:04:57.133,Red Line Bound
246,car,00:04:57.666,Red Line Bound
251,car,00:05:02.799,Red Line Bound
252,car,00:05:03.666,Red Line Bound
254,car,00:05:05.799,Red Line Bound
257,car,00:05:08.333,Red Line Bound
258,car,00:05:09.199,Red Line Bound
259,car,00:05:09.666,Red Line Bound
263,car,00:05:10.866,Red Line Bound
262,car,00:05:11.533,Red Line Bound
249,car,00:05:12.666,Red Line Bound
266,car,00:05:13.599,Red Line Bound
269,car,00:05:13.933,Red Line Bound
270,car,00:05:15.799,Red Line Bound
273,car,00:05:16.866,Red Line Bound
272,car,00:05:17.666,Red Line Bound
275,car,00:05:20.333,Red Line Bound
277,car,00:05:21.866,Red Line Bound
278,car,00:05:22.933,Red Line Bound
280,truck,00:05:24.866,Red Line Bound
281,car,00:05:25.799,Red Line Bound
286,car,00:05:32.799,Red Line Bound
287,car,00:05:32.999,Red Line Bound
289,truck,00:05:33.266,Red Line Bound
291,car,00:05:34.199,Red Line Bound
293,car,00:05:35.799,Red Line Bound
297,truck,00:05:37.666,Red Line Bound
302,car,00:05:39.199,Red Line Bound
304,car,00:05:40.599,Red Line Bound
305,car,00:05:42.066,Red Line Bound
294,car,00:05:43.999,Red Line Bound
310,car,00:05:46.999,Red Line Bound
309,car,00:05:47.133,Red Line Bound
312,car,00:05:49.133,Red Line Bound
314,car,00:05:55.066,Red Line Bound
317,truck,00:06:02.599,Red Line Bound
327,car,00:06:06.533,Red Line Bound
328,car,00:06:06.599,Red Line Bound
329,car,00:06:08.999,Red Line Bound
330,car,00:06:10.066,Red Line Bound
331,car,00:06:15.799,Red Line Bound
333,car,00:06:26.466,Red Line Bound
336,car,00:06:27.333,Red Line Bound
338,truck,00:06:28.133,Red Line Bound
339,car,00:06:28.666,Red Line Bound
344,car,00:06:30.533,Red Line Bound
347,car,00:06:31.133,Red Line Bound
349,car,00:06:31.599,Red Line Bound
351,truck,00:06:32.666,Red Line Bound
335,car,00:06:36.866,Red Line Bound
352,car,00:06:37.733,Red Line Bound
354,car,00:06:48.599,Red Line Bound
355,car,00:06:50.333,Red Line Bound
358,car,00:06:53.666,Red Line Bound
359,car,00:06:53.799,Red Line Bound
362,car,00:07:00.866,Red Line Bound
361,car,00:07:01.399,Red Line Bound
363,car,00:07:02.199,Red Line Bound
366,car,00:07:06.866,Red Line Bound
368,car,00:07:06.933,Red Line Bound
371,car,00:07:09.399,Red Line Bound
370,car,00:07:10.866,Red Line Bound
372,truck,00:07:12.933,Red Line Bound
374,car,00:07:13.933,Red Line Bound
375,car,00:07:15.133,Red Line Bound
376,car,00:07:15.733,Red Line Bound
377,car,00:07:16.599,Red Line Bound
378,car,00:07:18.133,Red Line Bound
379,car,00:07:18.466,Red Line Bound
380,car,00:07:19.199,Red Line Bound
385,car,00:07:21.399,Red Line Bound
388,car,00:07:24.066,Red Line Bound
390,car,00:07:25.599,Red Line Bound
393,car,00:07:32.066,Red Line Bound
394,car,00:07:33.266,Red Line Bound
397,car,00:07:37.333,Red Line Bound
399,car,00:07:38.066,Red Line Bound
403,car,00:07:41.933,Red Line Bound
406,car,00:07:42.866,Red Line Bound
405,car,00:07:43.266,Red Line Bound
407,truck,00:07:44.999,Red Line Bound
408,truck,00:07:48.399,Red Line Bound
356,car,00:07:50.999,Red Line Bound
411,car,00:07:51.599,Red Line Bound
414,car,00:07:52.466,Red Line Bound
415,car,00:07:54.733,Red Line Bound
418,car,00:07:57.266,Red Line Bound
417,car,00:07:58.933,Red Line Bound
419,car,00:08:04.599,Red Line Bound
420,car,00:08:05.933,Red Line Bound
422,car,00:08:07.933,Red Line Bound
423,car,00:08:10.666,Red Line Bound
427,car,00:08:16.133,Red Line Bound
425,car,00:08:17.999,Red Line Bound
429,car,00:08:23.533,Red Line Bound
430,car,00:08:26.133,Red Line Bound
431,car,00:08:28.133,Red Line Bound
433,car,00:08:33.466,Red Line Bound
435,car,00:08:33.799,Red Line Bound
437,car,00:08:34.199,Red Line Bound
436,truck,00:08:34.399,Red Line Bound
438,car,00:08:35.999,Red Line Bound
440,car,00:08:36.133,Red Line Bound
439,car,00:08:37.133,Red Line Bound
443,car,00:08:37.599,Red Line Bound
444,car,00:08:39.199,Red Line Bound
445,car,00:08:39.666,Red Line Bound
447,car,00:08:41.399,Red Line Bound
449,car,00:08:41.666,Red Line Bound
448,car,00:08:41.999,Red Line Bound
451,car,00:08:43.199,Red Line Bound
453,car,00:08:43.733,Red Line Bound
450,car,00:08:44.199,Red Line Bound
455,car,00:08:45.599,Red Line Bound
460,car,00:08:46.933,Red Line Bound
459,car,00:08:48.066,Red Line Bound
464,car,00:08:48.999,Red Line Bound
462,car,00:08:49.399,Red Line Bound
466,car,00:08:49.599,Red Line Bound
465,car,00:08:51.399,Red Line Bound
469,car,00:08:51.666,Red Line Bound
470,car,00:08:51.733,Red Line Bound
467,truck,00:08:52.333,Red Line Bound
472,car,00:08:55.466,Red Line Bound
473,car,00:08:55.999,Red Line Bound
475,car,00:08:58.533,Red Line Bound
474,car,00:08:58.599,Red Line Bound
477,car,00:09:03.599,Red Line Bound
478,car,00:09:07.333,Red Line Bound
479,car,00:09:10.133,Red Line Bound
482,car,00:09:12.866,Red Line Bound
481,car,00:09:14.333,Red Line Bound
480,car,00:09:14.333,Red Line Bound
484,car,00:09:19.599,Red Line Bound
483,car,00:09:22.599,Red Line Bound
485,car,00:09:22.599,Red Line Bound
486,car,00:09:23.799,Red Line Bound
487,car,00:09:24.933,Red Line Bound
500,car,00:09:25.266,Red Line Bound
491,car,00:09:25.866,Red Line Bound
498,car,00:09:27.799,Red Line Bound
505,car,00:09:29.466,Red Line Bound
506,car,00:09:31.066,Red Line Bound
507,car,00:09:33.533,Red Line Bound
508,car,00:09:34.399,Red Line Bound
512,car,00:10:03.066,Red Line Bound
513,car,00:10:03.666,Red Line Bound
514,car,00:10:04.666,Red Line Bound
516,truck,00:10:07.066,Red Line Bound
517,car,00:10:08.866,Red Line Bound
518,car,00:10:12.733,Red Line Bound
520,truck,00:10:13.133,Red Line Bound
524,car,00:10:15.133,Red Line Bound
525,car,00:10:19.866,Red Line Bound
526,car,00:10:23.399,Red Line Bound
529,car,00:10:28.533,Red Line Bound
530,car,00:10:29.333,Red Line Bound
531,car,00:10:30.533,Red Line Bound
535,car,00:10:31.066,Red Line Bound
534,car,00:10:31.333,Red Line Bound
536,truck,00:10:33.533,Red Line Bound
538,car,00:10:33.866,Red Line Bound
539,truck,00:10:34.333,Red Line Bound
544,car,00:10:34.333,Red Line Bound
542,car,00:10:35.533,Red Line Bound
545,car,00:10:38.066,Red Line Bound
547,car,00:10:39.333,Red Line Bound
548,car,00:10:40.599,Red Line Bound
551,car,00:10:43.266,Red Line Bound
549,truck,00:10:44.133,Red Line Bound
552,car,00:10:45.533,Red Line Bound
554,car,00:10:47.999,Red Line Bound
555,car,00:10:50.533,Red Line Bound
556,car,00:10:51.999,Red Line Bound
558,car,00:10:54.799,Red Line Bound
559,car,00:10:56.399,Red Line Bound
562,car,00:10:59.333,Red Line Bound
564,car,00:10:59.999,Red Line Bound
561,person,00:11:04.066,Blue Line Bound
566,car,00:11:05.399,Red Line Bound
567,car,00:11:06.399,Red Line Bound
568,car,00:11:08.733,Red Line Bound
569,car,00:11:10.933,Red Line Bound
570,car,00:11:12.466,Red Line Bound
