Time,"Avg wait time in corner
for all pedestrian","Avg wait time in corner when only car involved
",Yielding % in corner,"Avg wait time in median
for all pedestrian","Avg wait time in median
when only car involved",Yielding % in Median
8AM-9AM,6,7.20,0.00,3.00,6.00,37.50
9AM-10AM,4.17,6.82,38.89,2.11,3.17,53.33
10AM-11AM,2.31,4.47,70.97,1.71,3.12,86.90
11AM-12PM,3.79,6.55,17.86,3.00,4.75,67.86
12PM-1PM,5.97,8.41,43.26,2.5,4.19,67.71
Overall,4.45,6.69,34.19,2.46,4.24,62.66
