ID,Class,Timestamp,Line Bound
1,car,00:00:02.533,Red Line Bound
2,car,00:00:02.933,Red Line Bound
3,car,00:00:15.133,Red Line Bound
4,car,00:00:16.733,Red Line Bound
5,car,00:00:17.199,Red Line Bound
8,truck,00:00:19.666,Red Line Bound
9,truck,00:00:22.733,Red Line Bound
10,car,00:00:24.866,Red Line Bound
11,car,00:00:25.333,Red Line Bound
13,car,00:00:27.466,Red Line Bound
12,car,00:00:27.733,Red Line Bound
14,car,00:00:29.133,Red Line Bound
16,car,00:00:30.399,Red Line Bound
18,car,00:00:36.066,Red Line Bound
20,car,00:00:36.599,Red Line Bound
23,truck,00:00:58.933,Red Line Bound
24,car,00:01:00.666,Red Line Bound
25,car,00:01:01.133,Red Line Bound
27,car,00:01:01.933,Red Line Bound
26,car,00:01:03.533,Red Line Bound
32,car,00:01:08.133,Red Line Bound
35,car,00:01:08.533,Red Line Bound
41,car,00:01:08.999,Red Line Bound
36,car,00:01:09.399,Red Line Bound
38,car,00:01:09.866,Red Line Bound
40,car,00:01:10.933,Red Line Bound
43,car,00:01:11.866,Red Line Bound
44,car,00:01:13.333,Red Line Bound
45,car,00:01:13.999,Red Line Bound
49,car,00:01:22.399,Red Line Bound
53,car,00:01:25.533,Red Line Bound
61,car,00:01:27.733,Red Line Bound
62,car,00:01:30.733,Red Line Bound
63,car,00:01:31.066,Red Line Bound
66,car,00:01:35.133,Red Line Bound
68,car,00:01:36.733,Red Line Bound
69,car,00:01:37.666,Red Line Bound
70,car,00:01:38.266,Red Line Bound
73,car,00:01:42.333,Red Line Bound
78,car,00:01:43.533,Red Line Bound
80,car,00:01:43.733,Red Line Bound
81,car,00:01:44.933,Red Line Bound
82,car,00:01:46.333,Red Line Bound
85,truck,00:01:46.599,Red Line Bound
86,car,00:01:47.933,Red Line Bound
89,truck,00:01:49.266,Red Line Bound
91,car,00:01:50.466,Red Line Bound
93,car,00:01:51.733,Red Line Bound
96,car,00:01:53.799,Red Line Bound
50,car,00:01:57.866,Red Line Bound
98,car,00:02:01.133,Red Line Bound
100,car,00:02:09.933,Red Line Bound
101,car,00:02:10.799,Red Line Bound
102,car,00:02:12.466,Red Line Bound
103,truck,00:02:14.866,Red Line Bound
105,car,00:02:16.333,Red Line Bound
116,car,00:02:17.933,Red Line Bound
130,car,00:02:19.999,Red Line Bound
135,car,00:02:22.133,Red Line Bound
136,car,00:02:23.333,Red Line Bound
142,car,00:02:25.533,Red Line Bound
141,car,00:02:25.666,Red Line Bound
145,car,00:02:28.999,Red Line Bound
144,car,00:02:29.133,Red Line Bound
149,car,00:02:32.466,Red Line Bound
150,car,00:02:32.466,Red Line Bound
152,car,00:02:32.733,Red Line Bound
155,car,00:02:33.799,Red Line Bound
157,car,00:02:34.533,Red Line Bound
160,car,00:02:34.999,Red Line Bound
162,car,00:02:36.466,Red Line Bound
167,car,00:02:37.266,Red Line Bound
169,car,00:02:38.399,Red Line Bound
168,car,00:02:38.599,Red Line Bound
172,car,00:02:39.999,Red Line Bound
170,car,00:02:41.133,Red Line Bound
177,car,00:02:43.399,Red Line Bound
140,car,00:02:43.466,Red Line Bound
175,car,00:02:43.933,Red Line Bound
147,car,00:02:45.533,Red Line Bound
184,car,00:02:48.933,Red Line Bound
181,car,00:02:52.533,Red Line Bound
185,car,00:02:56.333,Red Line Bound
